beta,w_dtw,r_lgbm,lgbm_cf,tcn_cf,cf,overall,B1,B2,B3,B4
0.1,0.85,0.65,0.75,0.75,1.06,0.5718,0.6119,0.5829,0.6612,0.4314
0.1,0.85,0.45,0.75,0.75,1.07,0.5717,0.6134,0.5855,0.6579,0.4301
0.1,0.85,0.7,0.75,0.75,1.06,0.5718,0.611,0.5831,0.661,0.4318
0.1,0.86,0.55,0.75,0.75,1.05,0.5708,0.6131,0.5761,0.6651,0.4286
0.1,0.86,0.65,0.75,0.75,1.05,0.5707,0.612,0.5765,0.6647,0.4295
0.1,0.86,0.45,0.75,0.75,1.06,0.5708,0.6133,0.5791,0.6618,0.4288
0.1,0.86,0.7,0.75,0.75,1.05,0.5706,0.6113,0.5765,0.6645,0.43
0.1,0.87,0.55,0.75,0.75,1.05,0.5698,0.6117,0.5735,0.6649,0.4289
0.1,0.87,0.65,0.75,0.75,1.04,0.5696,0.6122,0.5702,0.6682,0.4277
0.1,0.87,0.45,0.75,0.75,1.05,0.5698,0.6133,0.5731,0.6651,0.4277
0.1,0.87,0.7,0.75,0.75,1.04,0.5695,0.6116,0.5703,0.6681,0.4282
0.1,0.88,0.55,0.75,0.75,1.04,0.5687,0.6119,0.5679,0.6679,0.4271
0.1,0.88,0.65,0.75,0.75,1.04,0.5685,0.6104,0.5679,0.6677,0.428
0.1,0.88,0.45,0.75,0.75,1.04,0.5687,0.6133,0.5674,0.6678,0.4264
0.1,0.88,0.7,0.75,0.75,1.04,0.5685,0.6097,0.568,0.6677,0.4285
0.1,0.89,0.55,0.75,0.75,1.04,0.5675,0.6096,0.5657,0.6672,0.4274
0.1,0.89,0.65,0.75,0.75,1.04,0.5673,0.608,0.5658,0.6673,0.4282
0.1,0.89,0.45,0.75,0.75,1.04,0.5675,0.6111,0.5652,0.6672,0.4266
0.1,0.89,0.7,0.75,0.75,1.03,0.5673,0.6101,0.5623,0.6699,0.4268
0.1,0.9,0.55,0.75,0.75,1.03,0.5663,0.61,0.5603,0.6691,0.4258
0.1,0.9,0.65,0.75,0.75,1.03,0.5662,0.6085,0.5604,0.6691,0.4267
0.1,0.9,0.45,0.75,0.75,1.03,0.5664,0.6112,0.5602,0.6691,0.425
0.1,0.9,0.7,0.75,0.75,1.03,0.5661,0.6078,0.5604,0.6692,0.4272
0.1,0.91,0.55,0.75,0.75,1.02,0.5651,0.6103,0.5553,0.6705,0.4243
0.1,0.91,0.65,0.75,0.75,1.02,0.565,0.6091,0.5553,0.6705,0.4252
0.1,0.91,0.45,0.75,0.75,1.02,0.5652,0.6114,0.5552,0.6706,0.4235
0.1,0.91,0.7,0.75,0.75,1.02,0.565,0.6085,0.5554,0.6705,0.4257
0.1,0.92,0.55,0.75,0.75,1.02,0.564,0.6074,0.5539,0.67,0.4248
0.1,0.92,0.65,0.75,0.75,1.02,0.5639,0.6061,0.554,0.6699,0.4256
0.1,0.92,0.45,0.75,0.75,1.02,0.5641,0.6086,0.5538,0.6701,0.424
0.1,0.92,0.7,0.75,0.75,1.02,0.5638,0.6055,0.554,0.6699,0.4257
0.1,0.93,0.55,0.75,0.75,1.02,0.5628,0.6038,0.5528,0.6694,0.4253
0.1,0.93,0.65,0.75,0.75,1.02,0.5626,0.6025,0.5528,0.6694,0.4256
0.1,0.93,0.45,0.75,0.75,1.02,0.5629,0.605,0.5527,0.6695,0.4246
0.1,0.93,0.7,0.75,0.75,1.02,0.5625,0.6019,0.5528,0.6694,0.4257
0.2,0.78,0.55,0.71,0.6,1.12,0.5676,0.6132,0.5931,0.6342,0.4297
0.2,0.78,0.65,0.71,0.6,1.12,0.5693,0.6125,0.599,0.6318,0.4337
0.2,0.78,0.45,0.71,0.6,1.13,0.5659,0.6152,0.5911,0.6297,0.4276
0.2,0.78,0.7,0.71,0.6,1.12,0.5699,0.6122,0.6012,0.6305,0.4357
0.2,0.79,0.55,0.71,0.6,1.12,0.5677,0.6144,0.5915,0.6344,0.4305
0.2,0.79,0.65,0.71,0.6,1.12,0.5692,0.6133,0.597,0.6321,0.4343
0.2,0.79,0.45,0.71,0.6,1.12,0.5662,0.6152,0.5863,0.6364,0.4268
0.2,0.79,0.7,0.71,0.6,1.11,0.57,0.6122,0.5961,0.6372,0.4342
0.2,0.8,0.55,0.71,0.6,1.11,0.5677,0.6142,0.5864,0.6409,0.4293
0.2,0.8,0.65,0.71,0.6,1.11,0.5691,0.6132,0.5915,0.6387,0.4329
0.2,0.8,0.45,0.71,0.6,1.11,0.5663,0.6152,0.5817,0.6426,0.4259
0.2,0.8,0.7,0.71,0.6,1.11,0.5697,0.6124,0.5941,0.6375,0.4348
0.2,0.81,0.55,0.71,0.6,1.11,0.5676,0.6141,0.585,0.6411,0.4301
0.2,0.81,0.65,0.71,0.6,1.1,0.5687,0.6131,0.5861,0.6442,0.4316
0.2,0.81,0.45,0.71,0.6,1.11,0.5664,0.6156,0.5806,0.6426,0.4268
0.2,0.81,0.7,0.71,0.6,1.1,0.5693,0.6124,0.5884,0.6432,0.4333
0.2,0.82,0.55,0.71,0.6,1.1,0.5673,0.6139,0.5802,0.6461,0.429
0.2,0.82,0.65,0.71,0.6,1.09,0.5683,0.6131,0.5809,0.6492,0.4302
0.2,0.82,0.45,0.71,0.6,1.1,0.5663,0.6154,0.5762,0.6479,0.4259
0.2,0.82,0.7,0.71,0.6,1.09,0.5689,0.6124,0.583,0.6484,0.4318
0.2,0.83,0.55,0.71,0.6,1.09,0.5669,0.6137,0.5756,0.6506,0.4278
0.2,0.83,0.65,0.71,0.6,1.08,0.5677,0.613,0.5759,0.6529,0.4288
0.2,0.83,0.45,0.71,0.6,1.09,0.5661,0.6152,0.572,0.6521,0.425
0.2,0.83,0.7,0.71,0.6,1.08,0.5682,0.6125,0.5778,0.6521,0.4303
0.2,0.84,0.55,0.71,0.6,1.08,0.5663,0.6136,0.5711,0.6538,0.4267
0.2,0.84,0.65,0.71,0.6,1.08,0.5669,0.6115,0.5745,0.6524,0.4294
0.2,0.84,0.45,0.71,0.6,1.09,0.5655,0.6134,0.5711,0.6517,0.4259
0.2,0.84,0.7,0.71,0.6,1.07,0.5674,0.6125,0.5729,0.6553,0.4288
0.2,0.85,0.55,0.71,0.6,1.07,0.5656,0.6135,0.5669,0.6566,0.4255
0.2,0.85,0.65,0.71,0.6,1.07,0.5662,0.6115,0.5699,0.6555,0.428
0.2,0.85,0.45,0.71,0.6,1.08,0.565,0.6132,0.5672,0.6546,0.4249
0.2,0.85,0.7,0.71,0.6,1.06,0.5666,0.6125,0.5682,0.6582,0.4274
0.2,0.86,0.55,0.71,0.6,1.06,0.565,0.6134,0.5627,0.6595,0.4244
0.2,0.86,0.65,0.71,0.6,1.06,0.5656,0.6116,0.5655,0.6584,0.4267
0.2,0.86,0.45,0.71,0.6,1.07,0.5644,0.613,0.5632,0.6573,0.424
0.2,0.86,0.7,0.71,0.6,1.06,0.5658,0.6107,0.5668,0.6579,0.4278
0.2,0.87,0.55,0.71,0.6,1.06,0.5643,0.6111,0.5619,0.6592,0.4251
