alpha_lgbm,cap_lgbm,alpha_tcn,cap_tcn,cf,overall,B1,B2,B3,B4
0.0,1.1,0.8,2.0,0.98,0.5878,0.6018,0.5867,0.6489,0.514
0.0,1.5,0.8,2.0,0.98,0.5878,0.6018,0.5867,0.6489,0.514
0.2,1.5,0.8,1.5,0.97,0.5875,0.6081,0.6008,0.6656,0.4755
0.0,1.5,1.0,1.5,0.98,0.5872,0.6035,0.6042,0.6491,0.492
0.0,1.3,1.0,1.5,0.98,0.5872,0.6035,0.6042,0.6491,0.492
0.0,1.1,1.0,1.5,0.98,0.5872,0.6035,0.6042,0.6491,0.492
0.0,1.2,1.0,1.5,0.98,0.5872,0.6035,0.6042,0.6491,0.492
0.0,2.0,1.0,1.5,0.98,0.5872,0.6035,0.6042,0.6491,0.492
0.6,2.0,0.8,1.5,0.94,0.587,0.6204,0.6222,0.6333,0.4722
1.0,1.2,0.6,1.5,0.95,0.5869,0.6165,0.612,0.6526,0.4664
0.8,1.5,0.8,1.5,0.94,0.5869,0.6205,0.6272,0.6259,0.4738
0.8,1.2,0.4,2.0,0.97,0.5867,0.6059,0.6031,0.6661,0.4718
0.8,1.2,0.6,1.5,0.95,0.5866,0.6161,0.6042,0.6622,0.4641
0.2,1.3,0.8,1.5,0.97,0.5865,0.608,0.5997,0.6621,0.4763
0.2,1.3,0.6,2.0,0.97,0.5863,0.6063,0.5898,0.6614,0.4879
0.8,1.3,0.4,2.0,0.95,0.5863,0.6146,0.6024,0.6624,0.4659
0.4,1.1,0.8,1.5,0.98,0.586,0.6025,0.6027,0.6578,0.4808
0.6,1.3,0.6,1.5,0.95,0.586,0.6157,0.6009,0.6663,0.4613
0.8,1.3,0.6,1.5,0.95,0.586,0.6162,0.6094,0.6553,0.4631
0.6,1.3,0.4,2.0,0.97,0.5857,0.6056,0.5999,0.6686,0.4688
0.8,2.0,0.8,1.5,0.94,0.5857,0.6212,0.6392,0.6065,0.476
0.6,1.2,0.6,1.5,0.96,0.5856,0.6119,0.5993,0.6672,0.464
0.2,1.2,0.8,1.5,0.98,0.5856,0.6022,0.601,0.6597,0.4794
0.4,1.1,0.6,2.0,0.98,0.5855,0.6007,0.5907,0.6581,0.4925
1.0,1.1,0.6,1.5,0.96,0.5854,0.6122,0.5995,0.6637,0.4661
1.0,1.3,0.4,2.0,0.95,0.5853,0.6151,0.6107,0.6473,0.4681
