feature,Mon_B1,Tre_B1,Mon_B2,Tre_B2,Mon_B3,Tre_B3,Mon_B4,Tre_B4,Mon_mean,Tre_mean,Quality,rank
ch1_kurt_rms,0.07199999999999943,0.5796505436820398,0.04424778761061908,0.44973167817581666,0.09090909090908988,0.38438883214164116,0.029411764705882137,0.3154087404558777,0.05914216080639763,0.4322949486138438,0.24571855471012072,34
ch2_rms,0.03999999999999968,0.6187536557930259,0.04424778761061908,0.5749296288046011,0.02272727272727247,0.24792305073203957,0.058823529411764275,0.35450463905016144,0.041449647437413875,0.44902774359495695,0.2452386955161854,35
ch2_energy,0.03999999999999968,0.6187536557930259,0.04424778761061908,0.5749296288046011,0.02272727272727247,0.24792305073203957,0.058823529411764275,0.35450463905016144,0.041449647437413875,0.44902774359495695,0.2452386955161854,36
ch2_mean_freq,0.13599999999999893,0.5826321709786277,0.07964601769911435,0.4000121504222272,0.09090909090908988,0.08457609805924414,0.16176470588235176,0.402542610189109,0.11707995362263873,0.367440757412302,0.24226035551747035,37
ch1_peak,0.07199999999999943,0.5653461797474372,0.04424778761061908,0.46508981187096254,0.04545454545454494,0.4919305413687437,0.0,0.2121735396792801,0.040425583266290865,0.4336350181666058,0.23703030071644834,38
ch3_shape_f,0.02399999999999981,0.6838575178102737,0.02654867256637145,0.08312913873757115,0.06818181818181741,0.7348995573714675,0.08823529411764641,0.18156234248697892,0.05174144621645877,0.42086213910157283,0.2363017926590158,39
ch1_high_band,0.03999999999999968,0.38650468691413575,0.09734513274336197,0.2874749397541565,0.18181818181817977,0.6522301668369085,0.014705882352941069,0.21902010566206803,0.08346729922862063,0.38630747479181715,0.23488738701021888,40
ch3_kurtosis,0.13599999999999893,0.6528473940757406,0.02654867256637145,0.2343370932139892,0.04545454545454494,0.7073714674838272,0.0,0.05874418951966696,0.05200080450522883,0.41332503607330595,0.23266292028926738,41
ch1_mean_freq,0.02399999999999981,0.5633385826771654,0.02654867256637145,0.5407221400943683,0.36363636363635954,0.0577289751447055,0.08823529411764641,0.1544047641271678,0.12560508258009428,0.32904861551085174,0.227326849045473,42
ch2_kurt_rms,0.02399999999999981,0.6192515935508063,0.02654867256637145,0.3501306170389421,0.02272727272727247,0.42397003745318357,0.029411764705882137,0.2896979483637314,0.025671927499881467,0.42076254910166583,0.22321723830077364,43
ch1_shape_f,0.21599999999999828,0.10116835395575555,0.02654867256637145,0.6206395172232236,0.27272727272726965,0.09462036091249576,0.044117647058823206,0.3919577351727742,0.13984839808811567,0.30209649181606224,0.22097244495208895,44
