w_th,alpha,cap,cf,overall,B1,B2,B3,B4
0.4,0.8,1.3,0.89,0.5598,0.6144,0.5801,0.6334,0.4112
0.6,0.2,1.5,0.98,0.5598,0.6093,0.5967,0.6389,0.3944
0.1,0.6,2.0,0.82,0.5597,0.622,0.5387,0.6271,0.4511
0.7,0.2,1.3,0.99,0.5595,0.5973,0.6043,0.651,0.3851
0.5,1.0,1.2,0.91,0.5591,0.608,0.5901,0.6353,0.403
0.35,0.4,2.0,0.89,0.559,0.6247,0.563,0.6153,0.4333
0.5,0.6,1.3,0.92,0.559,0.6073,0.5853,0.6414,0.4019
0.6,0.4,1.3,0.96,0.5589,0.604,0.5966,0.6409,0.394
0.7,0.8,1.1,0.98,0.5582,0.5965,0.6071,0.6427,0.3864
0.4,0.4,1.8,0.89,0.558,0.617,0.5644,0.6295,0.4212
0.2,0.6,1.8,0.82,0.5577,0.6133,0.5421,0.6344,0.4412
0.0,0.4,1.1,0.98,0.5576,0.6037,0.5359,0.6643,0.4264
0.0,0.2,1.2,0.97,0.5575,0.609,0.5328,0.6637,0.4243
0.7,0.4,1.2,0.98,0.5573,0.5955,0.6045,0.6428,0.3864
0.35,1.0,1.3,0.86,0.5573,0.613,0.5757,0.6235,0.4171
0.1,0.0,1.5,1.0,0.557,0.6029,0.5434,0.6666,0.4151
0.1,0.0,1.1,1.0,0.557,0.6029,0.5434,0.6666,0.4151
0.1,0.0,1.8,1.0,0.557,0.6029,0.5434,0.6666,0.4151
0.1,0.0,2.0,1.0,0.557,0.6029,0.5434,0.6666,0.4151
0.1,0.0,1.2,1.0,0.557,0.6029,0.5434,0.6666,0.4151
0.0,1.0,1.5,0.78,0.557,0.6238,0.54,0.6073,0.4569
0.1,0.0,1.3,1.0,0.557,0.6029,0.5434,0.6666,0.4151
0.3,0.6,1.5,0.86,0.5561,0.6164,0.5586,0.6286,0.4208
0.0,0.8,1.8,0.75,0.5559,0.5982,0.5276,0.648,0.4499
0.6,0.2,1.8,0.96,0.5556,0.604,0.5873,0.6319,0.3993
0.7,1.0,1.1,0.96,0.5555,0.5899,0.6007,0.6454,0.386
0.2,0.6,2.0,0.81,0.5553,0.6093,0.5387,0.6265,0.4469
0.4,0.4,2.0,0.88,0.5549,0.6134,0.5602,0.618,0.428
0.6,0.8,1.2,0.93,0.5548,0.595,0.5923,0.6372,0.3946
0.2,0.8,1.5,0.81,0.5546,0.6162,0.5494,0.6208,0.4319
0.0,0.2,1.1,0.99,0.554,0.5925,0.5352,0.6638,0.4245
0.4,1.0,1.3,0.85,0.5539,0.6001,0.5717,0.6324,0.4115
0.1,1.0,1.5,0.77,0.5537,0.6141,0.5442,0.6114,0.445
0.5,0.4,1.5,0.91,0.5535,0.6002,0.5738,0.6369,0.403
0.35,0.6,1.5,0.86,0.5531,0.6087,0.5613,0.6254,0.4171
0.0,0.8,2.0,0.75,0.5531,0.5993,0.5299,0.6322,0.4512
